SITE,MAT,MAP,SOLAR.INS,N.DEPOSITION,GRAZING.INDEX,PERCENT.GRASS.BIOMASS
bnch.us,5.5,1647,7.412331457,2.8441,8,0.590365242
burrawan.au,18.4,683,9.01855728,2.2505,13,0.99
cbgb.us,9,855,7.671493333,17.9966,10,0.65421221
cowi.ca,9.8,764,6.9548,3.681,3,0.952809593
gilb.za,13.1,926,8.9072608,5.0344,5,0.719587183
hall.us,13.6,1282,8.16152504,14.2941,5,0.395725407
hart.us,7.4,272,7.5776255,2.0153,11,0.824984834
kibber.in,1.1,504,8.564421866,14.231,22,0.388733392
look.us,4.8,1898,7.419482293,2.8441,8,0.577628729
marc.ar,13.9,838,8.188484,3.1964,8,0.95887037
mtca.au,17.3,330,8.70742896,1.0662,9,0.404471232
sage.us,5.7,826.8,7.9127,3.3584,9,0.426296189
sereng.tz,22.1,856.3333333,10.01745497,7.369,29,0.86449025
sgs.us,8.4,405.75,7.768333,3.1174,14,0.789841299
spin.us,12.5,881.6666667,8.03777503,13.8801,4,0.678488573
summ.za,18.2,972.5,8.8650712,5.0344,5,0.82267563
ukul.za,18.1,889.8333333,8.8764,5.0344,0,0.72608511
valm.ch,0.3,1079.833333,7.16055205,18.9057,10,0.582396618
